position,company,wages,place,education,work_experience,release_date,limit_people,address,company_type,company_size,industry,point_information
机器视觉研发工程师,广东工科机电有限公司,1.2-2.4万/月,佛山,本科,2年经验,07-04发布,招若干人,南海区罗村街边七星工业区六路一号,民营公司,50-150人,机械/设备/重工,胜任力特质：1、对研发设计充满激情2、具有旺盛的好奇心，乐于学习，享受变化3、勇于失败，乐于挑战不可能4、满足胜任力特质的人才我们也能因人设岗，所以赶紧与我们沟通吧！工作内容：1、负责墙地砖的机器视觉智能检测设备研发2、负责机器学习中的异常检测算法在工程机械领域的技术实现；3、负责计算机视觉算法和深度学习算法在工程机械领域的研发工作。任职资格：1、熟悉机器学习的基本方法(降维、分类、回归、异常检测等等)；2、熟悉深度学习原理和基本模型，熟练使用至少一类深度学习工具（例如Caffe、PyTorch、TensorFlow等），并能够灵活的解决实际问题；3、熟悉计算机视觉和图像处理的常用方法(例如：物体检测、跟踪、分割、分类识别等)；4、有很强的工程能力，精通C/C++语言以及至少另一种常见编程语言（例如python、matlab等）；5、有发明创造的理想和热情，有志于将机器学习和深度学习技术应用于工程机械领域；6、具备团队精神，善于沟通协作，性格开朗。职能类别：图像识别工程师机器视觉工程师关键字：图像处理机器视觉算法图像算法深度学习CaffePyTorchTensorFlow研发工程师微信分享
高级软件工程师,西安伟伦实业发展有限公司,1.2-1.6万/月,西安,本科,3-4年经验,07-04发布,招1人,西安市碑林区火炬路东开发区动漫产业园4号楼2层B区,民营公司,少于50人,"电子技术/半导体/集成电路,通信/电信/网络设备",【岗位职责】1、系统级软件框架规划、设计及优化设计；2、配合硬件工程师系统联合调试；3、编写自动化测试软件控制程序，以及软件界面；3、相关文档的编写；任职资格：1、熟悉使用C/C++ 、C#、Python任意一种编程语言；2、精通Windows下各类GPIB、USB、PXI/PXIe、CPCI、Ethernet仪器设备控制软件开发；3、熟悉常用的硬件、设备的接口和通信协议，有硬件或设备的相关软件开发经验；4、熟悉射频测试技术和各类仪器仪表，开关矩阵、校准算法；5、从事过研发生产测试装备的开发，有测试仪器仪表系统集成项目经验，具备研发生产测试行业2年以上开发经验优先；职能类别：软件工程师关键字：周末双休带薪年假年终双薪全勤奖加班补助交通补助出差补贴话补微信分享
BI 产品工程师,上海溯因智能科技有限责任公司,1.5-2.5万/月,上海-闵行区,本科,2年经验,07-04发布,招若干人,中骏广场,民营公司,少于50人,计算机软件,"1. 主导公司BI平台建设，提供所需BI产品及数据服务2、参与业务部门报表需求分析 为业务团队提供建议3.负责Tableau报表设计和开发，挖掘潜在的业务需求4. 负责Tableau报表和仪表盘的迭代优化，日常维护等相关工作5.负责Tableau技能内部培训和能力培养任职要求1.丰富的Tableau开发经验，有2年及以上实操经验. 有相关认证者优先2.能熟练使用Tableau与PPT进行数据展示及数据分析报告3. 有良好的沟通能力和团队协作协调能力4.对商业和业务逻辑敏感，具备良好的数据分析能力，并能从产品侧出发抽象需求5. 熟练掌握SQL,具备SAS, R, Python优先6. 精通Excel 者优先职能类别：算法工程师微信分享"
初级Java程序员,深圳市顺时网络科技有限公司,4.5-6千/月,深圳-宝安区,本科,1年经验,07-04发布,招5人,宝安区西乡街道前进二路134号锦联大厦A栋9楼,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",岗位职责：1、在资深软件工程师的指导下，完成相关Java项目的开发与测试工作；2、对已完成项目进行功能修改、优化；3、学习软件开发的相关技术，拓宽自己软件开发方面的知识体系；4、完成公司分配的其他工作。岗位要求：1、计算机及相关专业，大专及以上学历；2、具备一定的JAVA基础知识，了解J2EE应用的相关开发技术；3、了解软件开发及测试知识。4、了解主流关系型数据库（mysql、oracle等）；5、了解JavaScript、CSS、HTML4/5;6、具备清晰逻辑思维，良好的沟通技巧，团队合作精神，可承受一定的工作压力。7、熟悉Python首先考虑薪金福利：1、薪金构成：月工资 + 年底双薪 + 年终奖金 + 过节费；2、试用期最长3个月（优秀者2个星期即可转正），能力突出者半年即可升任管理岗；3、公司统一为员工购买社保；其他福利：1、广阔的晋升空间；2、赚取收益的同时也能收获很多不能用金钱衡量的东西；3、公司几乎每周一次的聚餐；4、每月完成目标业绩的集体旅游、户外拓展等丰富多彩的业余活动；5、根据员工任职需要，为员工提供在职业务培训；职业发展渠道：初级工程师—工程师—资深工程师—项目经理职能类别：软件工程师关键字：Java工程师Java程序员微信分享
基因合成研发工程师(008415) (职位编号：BGI008415),深圳华大基因股份有限公司,1-1.5万/月,深圳-盐田区,硕士,3-4年经验,07-04发布,招1人,洪安三街21号,民营公司,1000-5000人,"检测，认证,制药/生物工程",岗位职责:1、负责已有基因合成自动化程序的流程部署，维护以及更新，能够快速定位并debug，保证程序的正常运作；2、进行基因合成相关分析工具的开发和升级工作；3、根据基因合成原理和现有相关分析工具，对现有自动化流程进行整合升级，；任职资格:1、精通 python2/3，能熟练使用python的常用库，有2年以上的python编程经验，有大型python开发项目经验者优先；2、熟悉Linux开发环境，有ubuntu使用经验者优先；3、对基因合成技术有强烈兴趣，具备良好的学习能力和主动性，有基因合成或相关实验技能者优先；4、本科及以上学历，生物信息或生物工程等相关专业，本科2年以上工作经验，硕士1年以上工作经验；5、能适应异地出差或外派工作；6、有良好的沟通与表达能力；职能类别：Python开发工程师微信分享
生物信息分析主管,上海究本科技有限公司,2-3万/月,上海-浦东新区,硕士,2年经验,07-04发布,招1人,张衡路1077号,民营公司,少于50人,"制药/生物工程,医疗设备/器械",工作职责：1、建设生物信息分析平台及建立生物信息培训体系；2、搭建公司微生物组包含16s、Meta等生物信息分析的框架、流程和规范，主导开发微生物组生物信息分析流程，建立标准化和自动化的微生物组生物信息学分析流程；3、优化已有微生物组生物信息分析流程，提升流程的运行效率；关注前沿微生物组生信分析方法并开发应用；4、负责设计和开发微生物组生物信息学数据库，收集、筛选、整理项目所需的公共数据，整合各种数据库资源，进行数据的深度挖掘；5、负责基于大数据和大健康概念的数据管理、存储、解读和算法开发，定期对数据库进行维护和备份；6、根据项目需要，对高通量测序数据和其他基因检测数据进行分析整理，出具分析报告；统筹资源合理分配项目，确保项目进度、质量；7、提供微生物组生物信息技术支持。岗位要求：1、具有生物信息学、数学、计算机等专业背景，硕士学历以上，2年以上工作经验；2、熟悉Linux操作系统，精通Perl、R、Python两种以上编程语言；具有统计学基础；3、熟悉常用微生物组统计模型、数据结构和算法；有肠道菌群高通量测序流程搭建和运维经验；4、无障碍英文文献查询与阅读能力；5、有团队管理经验，强的学习能力、沟通能力和团队合作精神；福利：1、15%目标绩效年终奖；2、六险一金、节日福利、医院就诊绿色通道；3、法定假期、带薪病假、婚假产假、年假10天。职能类别：生物工程/生物制药医药技术研发人员关键字：生物信息分析NGS微生物组学大数据高通量测序微信分享
产品实施顾问-中数通信息有限公司,中国通信服务股份有限公司,,广州,本科,,07-04发布,招18人,,国企,,通信/电信运营、增值服务,工作地点 广州学历要求 本科及以上专业要求 信息系统、软件工程、计算机等相关专业应聘资格要求1、具有产品开发或实施相关实习或项目经验，了解掌握产品实施流程；2、有一定的开发基础，了解发开相关技术或工具：JAVA、C/C++、.NET、Python、HTML5、Web/前端、SQL、Oracle；3、综合素质优秀，逻辑思维清晰，学习能力强；4、态度积极主动，团队协助能力较好，良好的抗压能力。岗位职责1、负责项目产品的实施安装、系统配置、产品调试等；2、负责客户的产品现场故障诊断、现场实施操作培训；3、负责客户售前售后的技术问题答疑、产品运维；4、参与项目招投标相关技术内容的筹备，标书技术部分编写及答疑、应标等。职能类别：专业顾问微信分享
核心网维护支撑岗（澳门）,中国电信国际有限公司,,北京,本科,,07-04发布,招1人,,国企,,通信/电信运营、增值服务,用人单位	澳门公司工作地点	澳门学历要求	全日制统招本科或以上专业要求	通信工程、电子科技、计算机或相关专业岗位职责1、	协助实施核心网的集约化运维生产工作，确保新型核心网的正常、稳定、高效运行2、	开展核心网集约化生产支撑平台、工具的研发、提升网络自动化能力3、	参与核心网相关新技术新设备试验项目，并进行应用推广应聘资格要求1、	大学本科或以上学历，通信工程、电子科技、计算机或相关专业2、	对移动核心网有一定了解，熟悉移动核心网的趋势、架构、技术；3、	对Git、Python、Ansible等自动化工具有一定了解4、	乐于接受新事物，拥有快速学习的能力，清晰的沟通表达与协同推动解决问题的能力，团队合作意识好，有较强的执行力5、	澳门生源优先职能类别：网络工程师(IT工程师)微信分享
安全攻防工程师-网络安全所 (职位编号：20200225-053),中国电信研究院,,广州,硕士,,07-04发布,招1人,,国企,,通信/电信运营、增值服务,用人单位	网络安全研究所工作地点	广州市学历要求	硕士及以上专业要求	信息安全、计算机科学与技术、通信工程等相关专业岗位职责1.	跟踪业界网络安全攻防技术发展动态，开展网络攻防技术研究；2.	研究分析重要漏洞，开展POC测试，编写和维护用于安全测试的攻击和分析工具；3.	针对业务网络、IT系统、应用系统等开展渗透测试、漏洞挖掘与分析等工作，提出安全加固方案并协助完成安全加固。应聘资格要求1.	2020年全日制统招硕士及以上学历毕业生，取得相应学位；2.	技术要求（至少具备以下1项）：a)	了解网络信息安全基础知识，熟悉至少一种主流编程语言（如PHP/Java/Python等），可开发简单安全工具；b)	了解常见攻击方式和防御措施，包括漏洞及漏洞成因、渗透思路和方法；c)	了解主流安全工具及常规安全测试流程和方法，熟悉各类黑产攻击方式，原理和应对策略；d)	了解OWASP TOP 10等常见漏洞的原理分析、利用方式及修复方法；e)	了解IDA Pro、GDB、OD、WinDbg等常见的逆向分析与调试工具，具备逆向分析能力；f)	了解至少一种主流操作系统（Windows、Linux、Android和iOS）常见漏洞的原理分析、利用方式及修复方法。3.	能力要求：a)	具有发现问题和提出专业问题的能力；b)	具有较好的沟通表达能力；c)	具有较强的分析解决问题能力。d)	熟练的英语听说读写能力。4.	具有以下实践经验者优先：a)	从事过信息安全相关工程和服务实施，包括但不限于解决方案设计、风险评估、安全加固、渗透测试等的；b)	直接从事过漏洞发掘相关工作，在国内外各SRC提交过漏洞发掘成果并获得认可，或获得过CVE编号等的；c)	在计算机科学等相关领域核心期刊以***作者发表过论文的；d)	有国家发明专利申请获得受理的；e)	自行完成过软件或工具开发的。5.	愿意长期与企业共同成长，并努力实现个人价值。职能类别：网络安全工程师微信分享
人工智能研究员,北京星际荣耀空间科技有限公司,,北京,本科,,07-04发布,招1人,,民营公司,,多元化业务集团公司,任职要求：1.计算机或数学等相关专业，硕士及以上学历，研究方向匹配度高者及算法相关专业者优先，博士优先；2.1年及以上人工智能工作经验或优秀应届毕业生；3.熟悉机器学习、深度学习算法，至少熟悉一种主流学习框架（TensorFlow/PyTorch等）；4.具有较强的编程能力，熟练掌握Python，其它至少掌握一种编程语言（C/C++、Java、C#等）；5.具有嵌入式软件开发、软硬件深度结合开发项目经验者优先；6.具有GPU、TPU等项目开发工作经验者优先。职能类别：机器学习工程师微信分享
Web开发工程师,中国科学院软件研究所,,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,"岗位职责：1.根据项目具体要求和系统架构设计完成web前端开发、测试；2.根据项目具体要求和数据结构设计完成数据库开发、维护；3.参与项目文档编写，协助完成项目验收工作。岗位要求：1.具有完整项目经验，具备良好的代码编程习惯及较强的文档编写能力；2.熟练DIV+CSS布局,精通HTML、Javascript、ajax等前端技术，熟悉HTML5新特性，熟练掌握一种后端开发技术（如Java、C#.NET、Python等）；3.熟练掌握Oracle、MySQL等主流数据库，具有一定的SQL优化能力；4.熟悉JAVA编程技术和常用设计模式，精通MVC等框架应用，熟练掌握面向对象编程思想。职能类别：Web前端开发微信分享"
研发工程师JAVA,阿里巴巴（北京）软件服务有限公司,,北京,本科,,07-04发布,招若干人,,国企,,多元化业务集团公司,岗位描述：如果你想了解JAVA开发在阿里巴巴互联网生态系统中无与伦比的应用广度与深度；如果你对基础技术感兴趣，你可以参与基础软件的设计、开发和维护，如分布式文件系统、缓存系统、Key/Value存储系统、数据库、Linux操作系统和Java优化等；如果你热衷于高性能分布式技术，你可以参与高性能分布式服务端程序的系统设计，为阿里巴巴的产品提供强有力的后台支持，在海量的网络访问和数据处理中，设计并设施最强大的解决方案；如果你喜欢研究搜索技术，你可以参与搜索引擎各个功能模块的设计和实现，构建高可靠性、高可用性、高可扩展性的体系结构，满足日趋复杂的业务需求；如果你对电子商务产品技术感兴趣，你可以参与产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作；如果你对数据敏感，你可以参与海量数据处理和开发，通过sql、pl/sql、java进行etl程序开发，满足商业上对数据的开发需求；如果你热衷于客户端开发，你可以参与为用户提供丰富而有价值的桌面或无线软件产品。岗位要求：或许，你来自计算机专业，机械专业；但是，你酷爱着计算机以及互联网技术，热衷于解决挑战性的问题，追求极致的用户体验；或许，你痴迷于数据结构和算法，热衷于ACM，常常为看到“accept”而兴奋的手足舞蹈；或许，你熟悉Unix/Linux/Win32环境下编程，并有相关开发经验，熟练使用调试工具，并熟悉Perl，Python，shell等脚本语言；或许，你熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有很深的理解，并了解XML和HTML语言；或许，你热衷于数据库技术，能够熟练编写SQL脚本，有MySql或Oracle应用开发经验；或许，你并不熟悉Java编程语言，更精通C，C++，PHP，.NET等编程语言中的一种或几种，但你有良好和快速的学习能力；有可能，你参加过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等；也有可能，你在学校的时候作为骨干参与学生网站的建设和开发；同时，我们还希望你：1. 学习能力强，对新事物保有好奇心，并能快速适应新环境2. 良好的沟通能力和团队协同能力；能与他人合作，共同完成目标3. 对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结职能类别：软件工程师微信分享
Linux开源软件工程师,龙芯中科技术有限公司,,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,岗位职责：1、负责开源社区软件在龙芯Linux操作系统系统上的移植和优化；2、解决开源软件本身在实际项目应用中的Bug缺陷；例如Hadoop大数据软件、Docker/Kubernetes容器软件、Electron/Node.js等新兴编程框架、vlc/ffmpeg等媒体解码框架，以及其它在龙芯计算机产品推广中所涉及到的开源软件和第三方库；3、维护开源社区中的龙芯分支，参与提交代码、审阅代码，保持同社区的联系。任职资格：1、计算机、电子、嵌入式、自动化等相关专业本科及以上学历；2、具备Linux下的软件开发、构建和部署的项目经验；3、精通c/c++/bash/perl/python中至少一门语言，有汇编语言开发经验优先；4、熟练掌握git/svn/make/gdb等工具的使用；5、具备大型开源软件的分析和问题解决能力，能够快速学习英文文档、掌握大型软件的架构和执行流程，在大规模代码中进行流程跟踪和错误定位。职能类别：嵌入式软件开发(Linux/单片机/PLC/DSP…)关键字：Linux开源软件工程师微信分享
软件开发工程师,威睿信息技术（中国）有限公司,,北京,本科,,07-04发布,招3人,,民营公司,,多元化业务集团公司,"Business Summary:VMware is a global leader in cloud infrastructure and business mobility. VMware accelerates customers’ digital transformation journey by enabling enterprises to master a software-defined approach to business and IT. With VMware solutions, organizations are building extraordinary experiences by mobilizing everything, responding faster to opportunities with modern data and apps hosted across hybrid clouds, and safeguarding customer trust with a defense-in-depth approach to cybersecurity.At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Do you dare to do the stuff you’ve always dreamed about? Dare to explore athttp://careers.vmware.com.VMware offers cutting-edge cloud infrastructure and security services to companies of all shapes and sizes. Our world is all about technology, and that world is growing because the imagination, ingenuity and talent of our teams knows no bounds. We believe that creativity sparks innovation and inspires our employees to think of VMware differently and change the world around them.Are you interested in working on one of the below teams?Storage Applications, Networking Security, Cloud Platform, Cloud Native, Cloud Management Business Unit, Cloud Foundation, Office of the CTOJob Role and Responsibilities:As an Intern or New Graduate at VMware, you’ll create innovative solutions and solve complex problems. You’ll take ownership of meaningful, big-picture projects and springboard into an impactful career. At VMware, you will become immersed in all aspects of our innovative and collaborative culture, and ensure you get the full VMware experience. You’ll interact with industry thought leaders at one of our world class campuses and enjoy networking, community service, and career development events.Required Skills:? Pursuing Bachelor’s, Master’s or PhD in Computer Science or equivalent? Coursework (in some) of the following: Algorithms, Data Structures, Storage and＼or Operating Systems, Computer Architecture, Machine Learning, Compilers, Networking, Distributed Systems, Analytics, Web Development? Knowledge in one or more of the programming languages: C, C++, Java, or Go programming? Knowledge in Python, Perl, shell, or other scripting languages? Knowledge in Flex, HCI, wireframes, mockups? Knowledge in CSS, HTML, XML, Flash, JavaScript? School and/or industry projects involving significant design and developmentPreferred Skills:? Experience developing client-server or distributed, multithreaded applications? Experience developing user space and kernel modules? Exposure to SaaS or FaaS,modeling/optimizationtechniques? Previous internship experience is a plus? Ability to work independently? Strong teamwork and communication skills? Knowledge of availability/fault domains? Knowledge of ML/heuristics analysis? Exposure to container technologies - container orchestrators (Kubernetes, Mesos, Docker Swarm Mode) is a plus? Experience with Cloud based services, Microservices a Cloud Computing class or similar experience? Knowledge of NoSQL technologies (e.g. Cassandra, MongoDB, Redis, etc.) and/or search-based datastores and libraries (Lucene, Solr, etc.? Willingness to contribute to open source projects is a plus职能类别：软件工程师微信分享"
性能分析工程师（北京）,成都海光集成电路设计有限公司,,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,"工作职责：1. 系统性能（CPU、内存、存储）测试，分析，2. 准（benchmark）的创建和测量，负载（workload）平台的生成和开发3. 系统软件的优化4. 对公司业务伙伴的技术支持任职要求：1. 熟练的基准创建和测量和建模系统行为在负载下的技术。2. 能够发现在应用程序和瓶颈，分析瓶颈的根本原因3. 具有处理负荷、和复杂大规模，大系统部署优化的经验4. 能熟练应用C/C++,以及脚本（首选Python）软件5. 熟悉Unix/Linux，以及Windows服务器环境职能类别：其他微信分享"
测试工程师（武汉）,北京信安世纪科技股份有限公司,,武汉,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,岗位职责：1、根据项目需求完成产品的测试框架/工具的设计工作；2、根据安装部署文档搭建测试环境；3、编写测试用例，按照测试用例进行产品功能、性能测试；4、根据测试情况，完成测试报告。岗位要求：计算机相关专业本科或本科以上学历；具有较强的文档撰写能力，及独立分析和解决问题的能力熟悉脚本语言perl、python等编写熟悉使用oracle、DB2等数据库，熟悉SQL脚本熟悉unix、linux等的安装部署，熟悉Shell脚本语言熟悉Java/C++一种语言职能类别：软件测试工程师微信分享
21届提前批-系统方向产品经理（合肥） (职位编号：J23046),京东方科技集团股份有限公司,,合肥,硕士,,07-04发布,招5人,,民营公司,,多元化业务集团公司,岗位职责：制定解决方案，参与项目实施落地。1、协助制定技术解决方案，参与协助项目技术谈判以及技术方案的评定工作；2、负责编制项目费用预算，协助管理工程项目的实施；3、负责项目技术文件的编制和审核工作。任职资格：1、硕士及以上学历；2、电子、通讯 、自动化类相关专业；3、熟悉C、JAVA、PYTHON，能够熟练应用；有硬件电路设计和调试经验者优先；4、具有良好的沟通能力与组织协调能力以及快速学习能力；5、语言要求：英语六级，可阅读英文文献和新闻。职能类别：其他微信分享
Java开发工程师（人工智能方向）,北京华热科技发展有限公司,,北京,硕士,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,"岗位职责：1、从事人工智能领域前沿算法的研发，技术驱动，探索人工智能在业务方向上的价值点。任职要求：1、2020年应届毕业生，硕士研究生及以上学历，计算机、软件工程相关专业，全脱产学习（即学习期间未缴纳过社保）；2、有大数据、机器学习，图片识别、语音识别中至少一种相关背景和经验；3、熟悉Python编程，熟练使用 Numpy，Pandas，Scikit-learn；4、扎实的数学基础和机器学习算法功底，熟悉随机过程、马尔可夫链者优先；5、熟悉机器学习常用算法：决策树，随机森林，协同过滤，SVM, 回归算法等；6、有良好的沟通和协作能力，能有效进行跨团队和部门合作。职能类别：Java开发工程师微信分享"
FE研发/大前端研发,零氪信息技术（北京）有限公司,,天津,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,岗位职责：负责零氪各产品浏览器端、客户端、小程序端交互逻辑和业务逻辑的开发与维护，并保证兼容性，确保产品具有优质的用户体验岗位要求：本科及以上学历，计算机相关专业或自修过计算机专业必修课的优秀毕业生有编码实战经验，热爱计算机编程，喜欢研究新技术、新标准热爱互联网行业，熟练使用智能手机、现代浏览器，如Chrome、Firefox等熟悉JS、AS、AJAX、HTML5、CSS等前端开发技术者优先对于DNS、HTTP、HTTPS和相关的其他底层网络协议有比较全面的了解熟悉开发工具和环境，包括但不限于Linux、Git、IDE、VS Code、Sublime Text、Nginx。了解至少一种编程语言，包括但不限于JSP、CGI、Python、PHP、Nodejs等，对前后端联合开发的技术原理有全面认识者优先有开发网站、客户端、小程序的经验者加分有长期维护个人网站或技术博客经验者加分职能类别：HTML5开发工程师微信分享
C++开发工程师,北京畅游时代数码技术有限公司,1-1.5万/月,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,"岗位职责你将被分配到某一项目组，有三个方向可选：游戏引擎研发、客户端、服务端""任职要求岗位要求1、泛CS相关专业，本科及以上学历；2020届毕业2、熟悉C/C++编程语言及其思想；3、计算机基础知识牢固，理解数据结构，算法，操作系统等知识加分项1、了解计算机图形图像相关的领域；2、熟悉或精通分布式系统设计；3、熟练掌握至少一门脚本开发语言，包括但不限于python、Lua、Ruby等4、持有其他互联网/游戏/文娱 企业offer是加分项""职能类别：游戏服务端开发工程师微信分享"
前端开发工程师,中信出版集团股份有限公司,0.8-1万/月,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,职位描述：1. 根据产品设计需求实现中信书院前端开发、包含小程序；2. 维护及优化前端页面性能；3. 为团队引入**工具或其它实践、优化协作；4. 积累通用模块和框架，提高团队效率；5. 充分理解项目需求和设计需求，为产品和设计提供有效反馈。职位要求：1. 全日制统招及以上学历，计算机或相关专业本科以上，2年以上前端开发经验；2. 具有移动端开发经验，有微信端和小程序经验为佳；3. 熟练掌握 HTML、CSS、Javascript 等前端相关基本技能；4. 了解计算机网络，熟悉 HTTP 协议；5. 熟悉 React/Vue/AngularJS 等前端框架；6. 熟悉常见前端构建工具，如 Grunt/Gulp/Webpack 的实际项目经验；7. 了解 Node.js/Ruby/Python/PHP/Golang/Java 任意一门语言，有实际经验为佳；8. 逻辑性强、注重代码质量，能与他人合作开发项目，了解 Git 等工具；9. 持续关注业界发展，对前端前沿技术与其设计理念有实际了解和实践。职能类别：Web前端开发微信分享
自然语言处理工程师,京北方信息技术股份有限公司,,北京,硕士,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,"1、2020年毕业，计算机、通讯等相关专业的硕士研究生，985院校毕业者优先；2、熟练掌握深度学习，RNN网络、自然语义分析(NLP)，研究基于深度学习技术文本分类，文本生成，语音识别方向；3、熟练掌握正则表达式；4、熟练掌握Python语言，和基于Python的前端后端开发环境（Django，AngularJS, Bootstrap，Foundation，React），掌握HTML语言和Javascript脚本语言；5、.熟练掌握Linux环境，Shell脚本和常用Shell下的命令行工具，熟练掌握TensorFlow+Cuda+Nvidia环境在Linux环境下的搭建与试验；6、有CCF推荐列表人工智能方向发表论文者优先；7、英文熟练阅读，CET6证书。工作需要阅读英文文档和英文论文。职能类别：自然语言处理(NLP)微信分享"
数据初级分析师（风控策略）（上海）,北京友信科技有限公司,,上海,本科,,07-04发布,招若干人,,民营公司,,金融/投资/证券,工作职责：协助进行多维度的内外数据挖掘，开发优化信贷产品的相关功能，统筹搭建和迭代老客风险审批决策框架；协助调研多样数据源在风险管理流程中的使用；了解结构化数据内容处理方式和原则，逻辑条理清楚，能够从复杂抽象结构中梳理出所需数据内容；数据敏感，通过用户行为数据及业务运营数据，对现象和问题有较强的定位和分析能力；基于业务逻辑，建立业务数据体系，定期向业务团队提供日常报表、周月报等，针对指标数据异常，剔除预警；处理业务部门提出的需求，及时、准确的提供数据支持。任职要求：统招全日制本科以上学历，统计、数学、计算机等相关专业优先；具有互联网金融、信贷行业经验、数据分析实习经验优先；精通EXCEL、VBA和SQL语言，掌握SPSS、R、SAS、Python等至少一种统计软件应用；良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、预测和建模的经验；对互联网行业有热情；敏锐的商业嗅觉，对行业信息和市场动态敏感。职能类别：风险管理/控制关键字：14薪落户资格互联网金融微信分享
大数据开发工程师,民航电信开发有限责任公司,,北京,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,岗位职责：1、参与数据原理研究、处理模型验证、相关数据挖掘算法、统计分析方法、数据处理应用开发工作2、参与数据资源的收集规整、格式转换、交互共享3、参与数据可视化相关开发工作4、协助公司数据服务平台的大数据分析平台建设及运行维护任职资格：1、熟悉常用数据处理编程语言：Python、R等，有一定的代码编程经验2、掌握统计学数学知识，有一定的数据处理、数据分析和挖掘经验项目经验3、熟悉常用文档编辑工具的使用，精通EXCEL4、良好的沟通、学习、团队协作能力5、有民航领域相关工作经验优先6、英文能力较好者优先职能类别：数据分析师微信分享
云桌面研发工程师,麒麟软件有限公司,,天津,本科,,07-04发布,招若干人,,民营公司,,多元化业务集团公司,岗位职责：1、负责云桌面产品的研发；2、负责云桌面产品技术支撑工作。任职要求：1、全日制计算机软件相关专业本科学历，英语四级；2、熟悉linux系统；3、熟悉openstack云平台相关机制；4、熟悉c/c++、python语言，熟练掌握shell脚本编程，具有良好的编程能力程规范；5、熟练远程桌面协议；6、具有较强的独立工作能力和团队协作精神，对云计算相关技术有浓厚兴趣；7、对于创新及解决具有挑战性的问题充满激情；8、有开源软件开发经验者优先。职能类别：软件工程师微信分享
感知视觉图像算法工程师,北京星云互联科技有限公司,,北京,硕士,,07-04发布,招1人,,民营公司,,多元化业务集团公司,"公司介绍：星云互联，成立于2015年7月，依托清华大学技术团队而创立，是一家专注于新一代智慧交通系统和智能网联汽车技术的高科技企业，致力于打造顶尖的智慧交通系统和智能网联汽车产品与服务。公司初创至今，已形成了具有完全自主知识产权的V2X车载终端、路侧系统和云端产品，并实现批量生产。作为一个年轻的团队，如今星云已吸引了来自诸多国内外名校的精英，我们欢迎每一个志同道合的人加入，也期待与相关领域的前辈和巨人们携手，共同扬帆！岗位职责：1、负责基于视频的交通目标实时检测、分类、行为识别等技术、系统、产品的研发工作；2、负责计算机视觉方向的多目标跟踪，重识别等算法的研发；3、负责多传感器的融合，如激光雷达，毫米波、摄像头等融合算法研究4、负责交通目标检测系统的实地部署和调试。任职资格：1、计算机、自动化、信息类相关专业全日制硕士（211、985）及以上学历；2、熟练掌握C/C++编程，熟悉Python，matlab、shell等脚本，熟练掌握opencv图像处理库，Numpy、scipy等科学计算库；3、有深厚的深度学习基础，熟悉目标检测、目标追踪、视觉定位等方向，熟练掌握Caffe,Torch,TensorFlow等深度学习平台的一种或多种应用；加分项：4、掌握计算机视觉模型压缩、有模型移植到移动端经验优先；5、有传感器标定，理解摄像机内参外参标定，有激光雷达，毫米波雷达联合标定经验者优先；6、在计算机视觉会议或者期刊上发表过论文、国际比赛获奖、或自动驾驶行业经验者优先；8、根据公司业务要求能适应出差，有良好的职业素质、敬业精神和团队意识。职能类别：图像识别工程师关键字：多目标追踪传感器重识别微信分享"
